DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Coupeville School District No. 204,204,School,active,Island,Island,Coupeville,NA,NA
Covington Water District ,NA,Water,active,King,King,NA,King County Water District 105 (1960),"Service area includes Black Diamond, Covington, Kent, Maple Valley"
Cowiche Sewer District,NA,Sewer,active,Yakima,Yakima,NA,NA,NA
Cowlitz-Lewis Fire Protection District No. 20,20,Fire Protection,active,Cowlitz,"Cowlitz, Lewis",Vader,NA,NA
Cowlitz Conservation District,NA,Conservation,active,Cowlitz,Cowlitz,NA,NA,NA
Cowlitz County Cemetery District No. 1 (Castle Rock area),1,Cemetery,active,Cowlitz,Cowlitz,Castle Rock,NA,NA
Cowlitz County Cemetery District No. 2 (Woodland area),2,Cemetery,active,Cowlitz,Cowlitz,Woodland,NA,NA
Cowlitz County Cemetery District No. 3 (Toutle area),3,Cemetery,active,Cowlitz,Cowlitz,NA,NA,NA
Cowlitz County Cemetery District No. 4 ,4,Cemetery,active,Cowlitz,Cowlitz,NA,Ostrander area,NA
Cowlitz County Cemetery District No. 5  -Kalama area,5,Cemetery,active,Cowlitz,Cowlitz,Kalama,NA,NA
Cowlitz County Cemetery District No. 6,6,Cemetery,active,Cowlitz,Cowlitz,Part Kelso,Rose Valley area,NA
Cowlitz County Cemetery District No. 7,7,Cemetery,active,Cowlitz,Cowlitz,NA,Stella area,NA
Cowlitz County Consolidated Diking Improvement  District No. 2 ,2,Dikes,active,Cowlitz,Cowlitz,NA,Woodland,Woodland lowlands of Cowlitz County
Cowlitz County Consolidated Diking Improvement District No. 1  -Longview,1,Dikes,active,Cowlitz,Cowlitz,NA,NA,Longview lowlands of Cowlitz County
Cowlitz County Consolidated Diking Improvement District No. 3,3,Dikes,active,Cowlitz,Cowlitz,NA,South Kelso,East and South Kelso lowlands of Cowlitz County
Cowlitz County Diking Improvement  District No. 15,15,Dikes,active,Cowlitz,Cowlitz,NA,Willow Grove,Willow Grove area west of Longview
Cowlitz County Drainage Improvement District No. 1,1,Drainage,active,Cowlitz,Cowlitz,NA,North Kelso,North Kelso lowlands of Cowlitz County
Cowlitz County Fire Protection  District No. 1,1,Fire Protection,active,Cowlitz,Cowlitz,NA,Woodland (1940),NA
Cowlitz County Fire Protection District No. 2,2,Fire Protection,active,Cowlitz,NA,Kelso,Cowlitz 2 Fire and Rescue,NA
Cowlitz County Fire Protection District No. 3,3,Fire Protection,active,Cowlitz,Cowlitz,NA,Toutle,NA
Cowlitz County Fire Protection District No. 4,4,Fire Protection,active,Cowlitz,Cowlitz,NA,Ryderwood,NA
Cowlitz County Fire Protection District No. 5,5,Fire Protection,active,Cowlitz,Cowlitz,Kalama,Kalama,NA
Cowlitz County Fire Protection District No. 6,6,Fire Protection,active,Cowlitz,Cowlitz,Castle Rock,Castle Rock area,NA
Cowlitz County Mosquito Control District,NA,Mosquito Control,active,Cowlitz,Cowlitz,"Castle Rock, Kalama, Kelso, Longview",NA,"Woodland annexed in 2003, Kalama Annexed in 2004"
Cowlitz County Rural Partial Library District,NA,Library,active,Cowlitz,Cowlitz,NA,NA,"Area surrounding and west of Longview, contracting with Longview Public Library"
"Cowlitz EMS District #1, North County Emergency Medical Service (Joint EMS with Clark County EMS #1)",NA,NA,active,Cowlitz,NA,NA,NA,Unincorporated areas of southeast Cowlitz County
Cowlitz Public Facilities District,NA,Public Facilities,active,Cowlitz,Cowlitz,NA,NA,NA
Cowlitz Transit Authority,NA,Transportation,active,Cowlitz,Cowlitz,Kelso and Longview,NA,NA
Cowlitz/Skamania County Fire Protection District No. 7,7,Fire Protection,active,Cowlitz,"Cowlitz, Skamania",NA,NA,NA
Crescent Bar Sewer District ,NA,Sewer,active,Grant,Grant,NA,No information on disposition,NA
Crescent School District No. 313,313,School,active,Clallam,Clallam,NA,NA,NA
Crescent TV Reception District,NA,Television Reception,active,Clallam,Clallam,NA,NA,NA
Creston School District No. 73,73,School,active,Lincoln,Lincoln,Creston,NA,NA
Crockett Lake Water District,NA,Water,active,Island,Island,NA,NA,NA
Cross Valley Water District,NA,Water,active,Snohomish,Snohomish,Snohomish,NA,NA
Crystal Mountain Sewer District,NA,Sewer,active,Pierce,Pierce,NA,NA,Formed in the early 1980s to provide sewer service to Gold Hills Homeowner Association.
Crystal Springs Water District No. 3,3,Water,active,Kitsap,Kitsap,NA,NA,Boundary includes portions of Bainbridge.
Curlew School District No. 50,50,School,active,Ferry,Ferry,NA,NA,NA
Curlew Water District,NA,Water,active,Ferry,Ferry,NA,NA,"Supplies water to residents, businesses and schools in Curlew area"
Cusick School District No. 59,59,School,active,Pend Oreille,Pend Oreille,Cusick,NA,NA
Dallesport Water District (2009),NA,Water,active,Klickitat,Klickitat,NA,NA,NA
Damman School District No. 7,7,School,active,Kittitas,Kittitas,NA,NA,NA
Darrington Rural Part County Library District,NA,Library,active,Snohomish,Snohomish,to Sno Isle Regional Library,NA,"The Darrington Rural Partial County Library District, established by voter approval in 1996, provides library services in Skagit County. The library was annexed to the Sno-Isle Regional Library in May 2008."
Darrington Rural Partial County Library District ,NA,Library,annexed,Skagit,Skagit,NA,NA,Within the Skagit county portion of Darrington School District created in 1996 annexed to Sno-Isle Libraries in May 2008.
Darrington School District No. 330,330,School,active,Snohomish,Snohomish,Darrington,NA,NA
Davenport School District No. 207,207,School,active,Lincoln,Lincoln,Davenport,NA,NA
Dayton School District No. 2,2,School,active,Columbia,Columbia,Dayton,NA,NA
Deer Park School District No. 414,414,School,active,Spokane,Spokane,Part Deer Park,NA,NA
Des Moines Pool Metropolitan Park District (2009),NA,Parks,active,King,King,Des Moines,NA,NA
Des Moines Transportation Benefit District (2008),NA,Transportation,active,King,King,Des Moines,NA,NA
Diamond Lake Water and Sewer District,NA,Water/Sewer,active,Pend Oreille,Pend Oreille,NA,NA,NA
Dieringer School District No. 343,343,School,active,Pierce,Pierce,"Part Auburn, part Bonney Lake, part Sumner",NA,NA
Diking District No. 2,2,Dikes,consolidated,Skagit,Skagit,NA,NA,"Consolidated with 8, 13, 15, 18, & 21 now known as Consolidated Dike District No. 22"
Dixie School District No. 101,101,School,active,Walla Walla,Walla Walla,NA,NA,NA
Douglas-Okanogan County Fire District No. 15,15,Fire Protection,active,Okanogan,"Okanogan, Douglas",NA,Joint Fire District,"Joint fire district with Douglas Fire District No. 6, Douglas Fire District No. 7, and Okanogan Fire District No. 5"
Douglas County Cemetery District No. 1,1,Cemetery,active,Douglas,Douglas,NA,NA,NA
Douglas County Cemetery District No. 2 -,2,Cemetery,active,Douglas,Douglas,NA,NA,NA
Douglas County Cemetery District No. 3,3,Cemetery,active,Douglas,Douglas,NA,NA,NA
Douglas County Fire District No. 6,6,Fire Protection,active,Douglas,Douglas,NA,Brewster,Now Douglas-Okanogan Fire District No. 15
Douglas County Fire District No. 7,7,Fire Protection,merged,Douglas,Douglas,NA,NA,Now Douglas-Okanogan Fire District No. 15
Douglas County Fire Protection District No. 1,1,Fire Protection,active,Douglas,Douglas,NA,Waterville,NA
Douglas County Fire Protection District No. 2,2,Fire Protection,active,Douglas,Douglas,East Wenatchee and Rock Island,East Wenatchee/Rock Island,NA
Douglas County Fire Protection District No. 3,3,Fire Protection,active,Douglas,Douglas,NA,NA,NA
Douglas County Fire Protection District No. 4,4,Fire Protection,active,Douglas,Douglas,NA,Orondo (1945),NA
Douglas County Fire Protection District No. 5,5,Fire Protection,active,Douglas,Douglas,Mansfield,NA,NA
Douglas County Fire Protection District No. 8,8,Fire Protection,active,Douglas,Douglas,NA,NA,NA
Douglas County Public Hospital District No. 1,1,Hospital,active,Douglas,"Douglas, Okanogan","Bridgeport, Mansfield Okanogan County: Brewster, Pateros, Twisp, Winthrop",Okanogan-Douglas Hospital (Brewster),NA
Douglas County Public Hospital District No. 2,2,Hospital,active,Douglas,Douglas,Waterville,NA,NA
Douglas County Public Hospital District No. 3,3,Hospital,active,Douglas,Douglas,NA,NA,NA
Douglas County Sewer District No. 1,1,Sewer,active,Douglas,Douglas,NA,NA,Formed to provide sewer service in the East Wenatchee area
Douglas County TV Reception District No. 1,1,Television Reception,active,Douglas,Douglas,NA,NA,NA
Douglas/Okanogan County Fire District No. 15,15,Fire Protection,active,Okanogan,"Okanogan, Douglas",NA,NA,NA
Douglas/Okanogan Fire District No. 15,15,Fire Protection,active,Douglas,"Douglas, Okanogan",NA,NA,"Douglas Count FPD 6, FED 7 and Ferry County FPD No. 5"
Dungeness Irrigation District,NA,Irrigation,active,Clallam,Clallam,NA,NA,NA
East Columbia Basin Irrigation District,NA,Irrigation,active,Adams,Adams,NA,NA,NA
East County Fire and Rescue,9,Fire Protection,active,Clark,Clark,NA,Formerly Clark County Fire Protection District No. 9,Merger of Fires District 1 and 9 in May 2006
East County Park and Recreation District,NA,Parks,active,Snohomish,Snohomish,Monroe,NA,Formerly Monroe Park and Recreation District. Owns and operates Maltby Community Park
East Gig Harbor Water District (05/2002),NA,Water,active,Pierce,Pierce,NA,NA,NA
East Grays Harbor Medic One,NA,NA,active,Grays Harbor,Grays Harbor,NA,NA,Ambulance personnel and equipment Housed in Elma Fire Hall.
East Spokane Water District No. 1 (1917),1,Water,active,Spokane,Spokane,NA,NA,NA
East Valley School District No. 361,361,School,active,Spokane,Spokane,NA,NA,NA
East Valley School District No. 90,90,School,active,Yakima,Yakima,Moxee,NA,NA
East Wenatchee Water District (1926),NA,Water,active,Douglas,Douglas,NA,NA,Established in 1926 to provide water services to both the incorporated and unincorporated areas of East Wenatchee
Eastern Klickitat Conservation District,NA,Conservation,active,Klickitat,Klickitat,NA,NA,NA
Eastgate Sewer District,NA,Sewer,dissolved,King,NA,NA,NA,"Assumed by Bellevue December 31, 1994. District dissolved 1995."
Eastmont Metropolitan Parks District (2004),NA,Parks,active,Douglas,Douglas,East Wenatchee and part Rock Island,NA,"Replaced Eastmont Park and Recreation Service Area 
"
Eastmont School District No. 206,206,School,active,Douglas,Douglas,"East Wenatchee, Rock Island",NA,NA
Easton School District No. 28,28,School,active,Kittitas,Kittitas,Part Roslyn,NA,NA
Eastside Irrigation District No. 6,6,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Eastsound Sewer and Water District,NA,Water/Sewer,active,San Juan,San Juan,NA,NA,Provides sewer services to residents in Orcas Island.
Eatonville School District No. 404,404,School,active,Pierce,Pierce,Eatonville,NA,NA
Eatonville Transportation Benefit District (2012),NA,Transportation,active,King,King,Eatonville,NA,NA
Edmonds Public Facilities District,NA,Public Facilities,active,Snohomish,Snohomish,Edmonds,NA,NA
Edmonds School District No. 15,15,School,active,Snohomish,Snohomish,"Part Brier, Edmonds, Lynnwood, part Mill Creek, Mount Lake Terrace, Woodway",NA,NA
Edmonds Transportation Benefit District (2008),NA,Transportation,active,Snohomish,Snohomish,Edmonds,NA,NA
Elbe Water and Sewer District,NA,Water/Sewer,active,Pierce,Pierce,NA,NA,NA
Elkhorn Water District,NA,Water,active,Pierce,Pierce,NA,NA,NA
Ellensburg School District No. 401,401,School,active,Kittitas,Kittitas,Ellensburg,NA,NA
Elma School District No. 68,68,School,active,Grays Harbor,Grays Harbor,"Elma, part McCleary",NA,NA
Endicott School District No. 308,308,School,active,Whitman,Whitman,Endicott,NA,NA
Energy Northwest (Operating Agency),NA,NA,active,Benton,Benton,"Asotin County PUD Benton County PUD Chelan County PUD, Port Angeles, Richland, Clallam County PUD No. 1, Clark Public Utilities, Cowlitz County PUD, Franklin County PUD, Grant County PUD, Grays Harbor County PUD, Kittitas County PUD, Klickitat County PUD, Mason County PUD No. 1, Mason County PUD No. 3, Okanogan County PUD, Pacific County PUD No. 2,  Pend Oreille PUD, Seattle City Light, Skamania County PUD, Snohomish County PUD, Tacoma Public Utilities, Wahkiakum County PUD, Whatcom County PUD No. 1",NA,NA
Entiat Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Entiat School District No. 127,127,School,active,Chelan,Chelan,Entiat,NA,NA
Enumclaw Park and Recreation Service Area (1991),NA,Parks,disposition unknown,King,King,NA,NA,"Listed in King County Code Ordinance 9561.*  (Ord. 9828 § 1, 1991)."
Enumclaw School District No. 216,216,School,active,King,King,"Part Black Diamond, Enumclaw",NA,NA
Ephrata School District No. 165,165,School,active,Grant,Grant,Ephrata,NA,NA
Evaline School District No. 36,36,School,active,Lewis,Lewis,NA,NA,NA
Everett Public Facilities District,NA,Public Facilities,active,Snohomish,Snohomish,Everett,NA,NA
Everett School District No. 2,2,School,active,Snohomish,Snohomish,"Part Everett, part Mill Creek",NA,NA
Evergreen School District No. 114,114,School,active,Clark,Clark,"Camas, Vancouver",NA,NA
Evergreen School District No. 205,205,School,active,Stevens,Stevens,NA,NA,NA
Fall City Metropolitan Park District (02/2009),NA,Parks,active,King,King,NA,NA,"Election held February 3, 2009, King County Ordinance No. 16282"
Fall City Water District ,127,Water,active,King,King,NA,King County Water District No. 127 (1982,Formed in 1982 to operate a well-water distribution system in the Fall City area
Federal Way School District No. 210,210,School,active,King,King,"Part Algona, part Auburn, part Des Moines, Federal Way, part Kent, part Milton",NA,NA
Ferndale School District No. 502,502,School,active,Whatcom,Whatcom,"Part Bellingham, part Ferndale",NA,NA
Ferndale Transportation Benefit District (2011),NA,Transportation,active,Whatcom,Whatcom,Ferndale,NA,NA
Ferry Conservation District,NA,Conservation,active,Ferry,Ferry,NA,NA,NA
Ferry County Curlew Mosquito Control District,NA,Mosquito Control,active,Ferry,Ferry,NA,NA,NA
Ferry County Emergency Medical Services District No. 1,1,Emergency Medical Services,active,Ferry,Ferry,NA,NA,NA
Ferry County Fire Protection District No. 3 Jointly operating with Stevens FPD 8,3,Fire Protection,active,Ferry,Ferry,NA,Laurier/Orient/Barstow/Boyds/Deadman Creek/Sherman Creek,NA
Ferry County Park and Recreation District No. 2,2,Parks,active,Ferry,Ferry,Republic,NA,NA
Ferry County Public Hospital District No. 1,1,Hospital,active,Ferry,Ferry,Republic,NA,NA
Ferry County Public Utility District No. 1,1,Public Utility,active,Ferry,Ferry,Republic,NA,NA
Ferry/Okanogan County Fire Protection District No. 13,13,Fire Protection,active,Ferry,"Ferry,  Okanogan",NA,NA,NA
Ferry/Okanogan County Fire Protection District No. 14,14,Fire Protection,active,Ferry,"Ferry, Okanogan",NA,NA,NA
Ferry/Okanogan District No. 13,13,NA,active,Okanogan,"Okanogan, Ferry",NA,NA,NA
Ferry/Okanogan District No. 14,14,NA,active,Okanogan,"Okanogan, Ferry",NA,NA,NA
"Fidalgo Pool and Fitness Center District (1972) 
",NA,NA,active,Skagit,Skagit,Anacortes,NA,Fidalgo Park and Recreation District
Fife School District No. 417,417,School,active,Pierce,Pierce,"Part Edgewood, part  Fife, Milton, part Tacoma",NA,NA
Finley School District No. 53,53,School,active,Benton,Benton,NA,NA,NA
Finn Hill Park and Recreation District (2002),NA,Parks,annexed,King,King,NA,NA,Area of Finn Hill annexed to Kirkland in 2011 which  included Finn Hill Park and Recreation District.  District levy  for O.O. Denny Park will expire 12/2014
Fisherman's Bay Sewer District (1974),NA,Sewer,active,San Juan,San Juan,NA,NA,Provides services to Fisherman's Bay residents and businesses located on Lopez Island
Fort Vancouver Regional Library,NA,Library,active,Cowlitz,Cowlitz,Woodland,NA,NA
Fort Vancouver Regional Library District,NA,Library,active,Clark,Clark,"Battle Ground, La Center, Ridgefield, Vancouver, Washougal, Yacolt, North Bonneville, Stevenson, Woodland",NA,Woodland Community Library; Annexed to Fort Vancouver Regional Library District (1996) established in 1950 as the first inter-county rural library district in the state.  established in 1950 as the first inter-county rural library district in the state
Foster Creek Conservation District,NA,Conservation,active,Douglas,Douglas,NA,NA,NA
Four Lakes Water District No. 10,10,Water,active,Spokane,Spokane,NA,NA,NA
Franklin Conservation District,NA,Conservation,active,Franklin,Franklin,NA,NA,NA
Franklin County Cemetery District No. 1  -Kahlotus,1,Cemetery,active,Franklin,Franklin,Kahlotus,NA,NA
Franklin County Cemetery District No. 2 ,2,Cemetery,active,Franklin,Franklin,Connell,Connell,NA
Franklin County Fire Protection District No. 1,1,Fire Protection,active,Franklin,Franklin,NA,Connell,NA
Franklin County Fire Protection District No. 2,2,Fire Protection,active,Franklin,Franklin,NA,Kahlotus,NA
Franklin County Fire Protection District No. 3,3,Fire Protection,active,Franklin,Franklin,NA,Pasco  (1953),NA
Franklin County Fire Protection District No. 4,4,Fire Protection,active,Franklin,Franklin,NA,Basin City,NA
Franklin County Fire Protection District No. 5 (2007),5,Fire Protection,active,Franklin,Franklin,NA,NA,Formation Election held 11/2007
